,Order ID,Customer ID,Order DateTime,Product Name,Category,Quantity,Price,City,Delivery Time (mins),Order Status,Total Amount,Order Hour,Day,Month,IsWeekend,Order Period,High Order Value,Fast Delivery
0,ORD1000,CUST260,2023-06-25 17:15:00,Potatoes,Vegetables,1,388.63,Kolkata,0.0,Returned,388.63,17,Sunday,June,Yes,Evening,No,Fast
1,ORD1001,CUST497,2023-09-15 11:24:00,Shampoo,Personal Care,1,272.92,Mumbai,0.0,Returned,272.92,11,Friday,September,No,Morning,No,Fast
2,ORD1002,CUST217,2023-10-20 23:16:00,Bread,Bakery,4,123.2,Pune,82.9,Delivered,492.8,23,Friday,October,No,Night,No,Slow
3,ORD1003,CUST434,2023-09-04 04:51:00,Butter,Dairy,4,425.03,Pune,41.54,Delivered,1700.12,4,Monday,September,No,Night,Yes,Slow
4,ORD1004,CUST354,2023-07-04 20:01:00,Bananas,Fruits,3,483.1,Kolkata,26.17,Delivered,1449.3000000000002,20,Tuesday,July,No,Evening,Yes,Fast
5,ORD1005,CUST353,2023-06-05 20:27:00,Eggs,Dairy,5,85.51,Mumbai,26.82,Delivered,427.55,20,Monday,June,No,Evening,No,Fast
6,ORD1006,CUST360,2023-08-09 06:51:00,Shampoo,Personal Care,4,101.85,Delhi,72.19,Delivered,407.4,6,Wednesday,August,No,Morning,No,Slow
7,ORD1007,CUST363,2023-01-12 08:18:00,Apples,Fruits,1,471.95,Delhi,0.0,Cancelled,471.95,8,Thursday,January,No,Morning,No,Fast
8,ORD1008,CUST386,2023-06-10 03:51:00,Chicken,Meat,3,147.73,Pune,68.77,Delivered,443.18999999999994,3,Saturday,June,Yes,Night,No,Slow
9,ORD1009,CUST105,2023-08-23 19:49:00,Rice,Grains,1,365.25,Mumbai,0.0,Returned,365.25,19,Wednesday,August,No,Evening,No,Fast
10,ORD1010,CUST239,2023-01-05 08:25:00,Milk,Dairy,2,240.9,Chennai,0.0,Returned,481.8,8,Thursday,January,No,Morning,No,Fast
11,ORD1011,CUST402,2023-05-16 18:18:00,Milk,Dairy,5,142.63,Hyderabad,26.48,Delivered,713.15,18,Tuesday,May,No,Evening,Yes,Fast
12,ORD1012,CUST491,2023-06-10 22:06:00,Rice,Grains,3,492.06,Hyderabad,65.72,Delivered,1476.18,22,Saturday,June,Yes,Night,Yes,Slow
13,ORD1013,CUST257,2023-01-24 18:42:00,Shampoo,Personal Care,3,26.07,Bangalore,56.35,Delivered,78.21000000000001,18,Tuesday,January,No,Evening,No,Slow
14,ORD1014,CUST165,2023-09-27 05:50:00,Apples,Fruits,4,326.88,Chennai,86.23,Delivered,1307.52,5,Wednesday,September,No,Morning,Yes,Slow
15,ORD1015,CUST185,2023-09-10 20:33:00,Fish,Meat,4,223.98,Hyderabad,24.78,Delivered,895.92,20,Sunday,September,Yes,Evening,Yes,Fast
16,ORD1016,CUST484,2023-10-12 02:18:00,Tomatoes,Vegetables,4,376.61,Pune,60.82,Delivered,1506.44,2,Thursday,October,No,Night,Yes,Slow
17,ORD1017,CUST438,2023-01-25 16:25:00,Bananas,Fruits,2,355.75,Mumbai,0.0,Cancelled,711.5,16,Wednesday,January,No,Afternoon,Yes,Fast
18,ORD1018,CUST103,2023-04-22 11:57:00,Tomatoes,Vegetables,4,280.3,Kolkata,26.06,Delivered,1121.2,11,Saturday,April,Yes,Morning,Yes,Fast
19,ORD1019,CUST285,2023-09-21 07:43:00,Onions,Vegetables,1,436.45,Pune,84.69,Delivered,436.45,7,Thursday,September,No,Morning,No,Slow
20,ORD1020,CUST383,2023-02-14 06:00:00,Toothpaste,Personal Care,5,119.86,Mumbai,25.7,Delivered,599.3,6,Tuesday,February,No,Morning,Yes,Fast
21,ORD1021,CUST171,2023-10-01 20:55:00,Potatoes,Vegetables,4,78.87,Chennai,65.28,Delivered,315.48,20,Sunday,October,Yes,Evening,No,Slow
22,ORD1022,CUST248,2023-02-13 05:09:00,Eggs,Dairy,1,293.07,Kolkata,28.77,Delivered,293.07,5,Monday,February,No,Morning,No,Fast
23,ORD1023,CUST344,2023-05-27 22:31:00,Toothpaste,Personal Care,2,390.76,Delhi,67.83,Delivered,781.52,22,Saturday,May,Yes,Night,Yes,Slow
24,ORD1024,CUST334,2023-03-18 03:24:00,Fish,Meat,5,140.49,Chennai,63.16,Delivered,702.45,3,Saturday,March,Yes,Night,Yes,Slow
25,ORD1025,CUST381,2023-04-07 22:38:00,Shampoo,Personal Care,1,139.14,Hyderabad,23.45,Delivered,139.14,22,Friday,April,No,Night,No,Fast
26,ORD1026,CUST392,2023-05-07 14:57:00,Fish,Meat,3,302.6,Kolkata,56.3,Delivered,907.8000000000001,14,Sunday,May,Yes,Afternoon,Yes,Slow
27,ORD1027,CUST277,2023-04-22 01:43:00,Chicken,Meat,1,114.93,Hyderabad,50.09,Delivered,114.93,1,Saturday,April,Yes,Night,No,Slow
28,ORD1028,CUST477,2023-12-01 13:27:00,Milk,Dairy,4,321.45,Delhi,41.52,Delivered,1285.8,13,Friday,December,No,Afternoon,Yes,Slow
29,ORD1029,CUST339,2023-01-17 09:50:00,Shampoo,Personal Care,2,103.87,Mumbai,25.51,Delivered,207.74,9,Tuesday,January,No,Morning,No,Fast
30,ORD1030,CUST108,2023-05-12 04:09:00,Onions,Vegetables,3,272.08,Hyderabad,77.85,Delivered,816.24,4,Friday,May,No,Night,Yes,Slow
31,ORD1031,CUST163,2023-04-13 18:16:00,Tomatoes,Vegetables,4,417.4,Pune,0.0,Returned,1669.6,18,Thursday,April,No,Evening,Yes,Fast
32,ORD1032,CUST423,2023-02-10 13:01:00,Chicken,Meat,5,178.15,Pune,65.39,Delivered,890.75,13,Friday,February,No,Afternoon,Yes,Slow
33,ORD1033,CUST397,2023-02-04 19:45:00,Onions,Vegetables,1,41.29,Kolkata,14.45,Delivered,41.29,19,Saturday,February,Yes,Evening,No,Fast
34,ORD1034,CUST359,2023-09-02 21:52:00,Tomatoes,Vegetables,3,214.36,Hyderabad,0.0,Cancelled,643.08,21,Saturday,September,Yes,Night,Yes,Fast
35,ORD1035,CUST415,2023-10-06 10:34:00,Butter,Dairy,5,495.06,Bangalore,35.29,Delivered,2475.3,10,Friday,October,No,Morning,Yes,Slow
36,ORD1036,CUST324,2023-01-25 22:00:00,Milk,Dairy,4,440.59,Pune,12.22,Delivered,1762.36,22,Wednesday,January,No,Night,Yes,Fast
37,ORD1037,CUST272,2023-11-27 05:07:00,Apples,Fruits,4,319.35,Mumbai,73.75,Delivered,1277.4,5,Monday,November,No,Morning,Yes,Slow
38,ORD1038,CUST357,2023-10-19 17:15:00,Toothpaste,Personal Care,2,273.73,Kolkata,23.45,Delivered,547.46,17,Thursday,October,No,Evening,Yes,Fast
39,ORD1039,CUST242,2023-10-01 20:10:00,Milk,Dairy,4,67.67,Pune,86.92,Delivered,270.68,20,Sunday,October,Yes,Evening,No,Slow
40,ORD1040,CUST282,2023-03-02 13:09:00,Tomatoes,Vegetables,2,312.24,Kolkata,46.8,Delivered,624.48,13,Thursday,March,No,Afternoon,Yes,Slow
41,ORD1041,CUST111,2023-12-01 07:06:00,Toothpaste,Personal Care,3,365.08,Hyderabad,61.25,Delivered,1095.24,7,Friday,December,No,Morning,Yes,Slow
42,ORD1042,CUST373,2023-09-13 15:45:00,Wheat Flour,Grains,1,259.33,Hyderabad,0.0,Cancelled,259.33,15,Wednesday,September,No,Afternoon,No,Fast
43,ORD1043,CUST254,2023-01-26 17:54:00,Apples,Fruits,5,469.54,Chennai,27.83,Delivered,2347.7000000000003,17,Thursday,January,No,Evening,Yes,Fast
44,ORD1044,CUST285,2023-03-24 17:36:00,Tomatoes,Vegetables,5,383.8,Mumbai,0.0,Returned,1919.0,17,Friday,March,No,Evening,Yes,Fast
45,ORD1045,CUST123,2023-08-31 09:36:00,Potatoes,Vegetables,1,485.01,Mumbai,39.08,Delivered,485.01,9,Thursday,August,No,Morning,No,Slow
